Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Range,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
145,PEUGEOT,e-5008 73 kWh,73.0,143.0,9.0,a1,370.0,197.0,430.0,52000.0,52000.0,48000.0,Front Wheel Drive,Towbar possible,1000.0,7.0,59808.0
146,MERCEDES-BENZ,EQB 350 4MATIC,66.5,187.0,6.2,a1,345.0,193.0,500.0,58197.0,69728.0,56810.0,All Wheel Drive,Towbar possible,1700.0,7.0,70785.0
1470,PORSCHE,Taycan Plus,97.0,193.0,4.8,a2,560.0,173.0,1230.0,107224.0,108100.0,90954.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,113328.0
148,VOLKSWAGEN,ID.5 Pro,77.0,118.0,6.7,a1,455.0,169.0,650.0,53520.0,53990.0,50940.0,Rear Wheel Drive,Towbar possible,1000.0,5.0,63471.0
149,MERCEDES-BENZ,EQA 250+,70.5,129.0,8.6,a1,420.0,183.0,500.0,52205.0,52546.0,49750.0,Front Wheel Drive,Towbar possible,1500.0,5.0,61988.0
150,FORD,Mustang Mach-E ER AWD,91.0,156.0,5.8,a1,445.0,204.0,390.0,65900.0,66940.0,65405.0,All Wheel Drive,Towbar possible,1500.0,5.0,81494.0
151,AUDI,Q8 e-tron Sportback 55 quattro,106.0,183.0,5.6,a1,525.0,202.0,660.0,87550.0,85385.0,69995.0,All Wheel Drive,Towbar possible,1800.0,5.0,100053.0
152,XPENG,G9 RWD Long Range,86.0,130.0,6.4,a2,480.0,194.0,1120.0,61600.0,63188.0,0.0,Rear Wheel Drive,Towbar not possible,1500.0,5.0,35300.0
1530,RENAULT,5 E-Tech 40kWh 95hp,40.0,97.0,10.0,a1,260.0,154.0,350.0,25000.0,25000.0,22000.0,Front Wheel Drive,Towbar possible,500.0,5.0,27412.0
154,GWM,ORA 3 48 kWh,49.8,146.0,8.3,a1,260.0,175.0,240.0,38990.0,0.0,31995.0,Front Wheel Drive,Towbar not possible,0.0,5.0,39865.0
155,NIO,ET7 100 kWh,90.0,183.0,3.8,a2,490.0,178.0,530.0,90900.0,93900.0,0.0,All Wheel Drive,Towbar not possible,1000.0,5.0,52458.0
156,KIA,EV6 Standard Range 2WD,54.0,148.0,8.5,a1,305.0,177.0,750.0,46990.0,43495.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5.0,24298.0
157,SKODA,Enyaq 60,58.0,133.0,8.7,a1,335.0,173.0,580.0,44200.0,44990.0,38970.0,Rear Wheel Drive,Towbar possible,1000.0,5.0,48556.0
158,ZEEKR,X Privilege AWD,64.0,143.0,8.7,a1,345.0,186.0,580.0,50470.0,48490.0,0.0,All Wheel Drive,Towbar possible,1600.0,5.0,27089.0
159,PEUGEOT,e-2008 54 kWh,50.8,136.0,9.1,a1,300.0,169.0,480.0,39450.0,41270.0,36350.0,Front Wheel Drive,Towbar not possible,0.0,5.0,45292.0
160,VOLKSWAGEN,Emeya,77.0,106.0,7.9,a1,455.0,169.0,680.0,47595.0,47990.0,42870.0,Rear Wheel Drive,Towbar not possible,0.0,4.0,53416.0
161,NIO,EL6 100 kWh,90.0,174.0,4.5,a2,435.0,207.0,630.0,74500.0,76900.0,0.0,All Wheel Drive,Towbar possible,1200.0,5.0,58562.0
162,VOYAH,Free 106 kWh,100.0,147.0,4.4,a2,480.0,208.0,360.0,0.0,74150.0,32400.0,All Wheel Drive,Towbar possible,2000.0,5.0,41424.0
1630,VOLKSWAGEN,ID. Buzz GTX,79.0,229.0,6.5,a1,335.0,236.0,520.0,75000.0,75000.0,70000.0,All Wheel Drive,Towbar possible,550.0,5.0,87220.0
1640,DACIA,Spring Electric 65 Extreme,25.0,153.0,13.7,a1,160.0,156.0,170.0,24550.0,0.0,0.0,Front Wheel Drive,Towbar not possible,0.0,4.0,26023.0
165,MERCEDES-BENZ,EQS 580 4MATIC,108.4,267.0,4.3,a2,590.0,184.0,880.0,106400.0,173825.0,0.0,All Wheel Drive,Towbar possible,750.0,5.0,97109.0
166,LUCID,Air Touring,100.0,173.0,3.2,a2,580.0,159.0,970.0,99000.0,102000.0,0.0,All Wheel Drive,Towbar not possible,0.0,5.0,62293.0
167,BMW,iX M60,105.2,286.0,3.8,a2,485.0,217.0,650.0,136100.0,138383.0,122775.0,All Wheel Drive,Towbar possible,2500.0,5.0,152977.0
168,PORSCHE,Taycan,82.3,212.0,4.8,a2,485.0,170.0,1070.0,101500.0,107000.0,86500.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,107779.0
169,PORSCHE,Taycan Turbo GT,95.0,494.0,2.3,a3,475.0,197.0,1050.0,240000.0,249900.0,186300.0,All Wheel Drive,Towbar not possible,0.0,5.0,232129.0
1700,BMW,iX2 eDrive20,64.7,134.0,8.6,a1,395.0,164.0,530.0,49400.0,49976.0,51615.0,Front Wheel Drive,Towbar possible,750.0,5.0,56375.0
171,OPEL,Corsa Electric 50 kWh,50.0,121.0,8.7,a1,295.0,157.0,470.0,34650.0,34999.0,32445.0,Front Wheel Drive,Towbar not possible,0.0,5.0,40426.0
1720,PEUGEOT,e-308,50.8,150.0,9.8,a1,300.0,169.0,450.0,44765.0,42070.0,42025.0,Front Wheel Drive,Towbar not possible,0.0,5.0,52363.0
1730,VOLKSWAGEN,ID.4 Pure,52.0,140.0,9.0,a1,285.0,176.0,470.0,40335.0,44990.0,34195.0,Rear Wheel Drive,Towbar possible,1000.0,4.0,39734.0
174,PEUGEOT,e-5008 98 kWh Long Range,98.0,125.0,9.7,a1,490.0,200.0,640.0,60000.0,60000.0,51615.0,Front Wheel Drive,Towbar possible,0.0,7.0,68530.0
175,PEUGEOT,Marvel R,70.0,125.0,7.9,a2,365.0,192.0,400.0,46990.0,44485.0,0.0,Rear Wheel Drive,Towbar possible,750.0,5.0,24851.0
176,JAGUAR,Junior Elettrica 54 kWh Veloce,84.7,235.0,5.7,a2,380.0,223.0,360.0,92400.0,95450.0,69995.0,All Wheel Drive,Towbar possible,750.0,5.0,87213.0
177,AUDI,Q8 e-tron 50 quattro,89.0,175.0,6.0,a2,425.0,209.0,660.0,74400.0,71385.0,67800.0,All Wheel Drive,Towbar possible,1800.0,5.0,84478.0
178,VOLKSWAGEN,ID.4 GTX,77.0,140.0,5.4,a1,420.0,183.0,630.0,53255.0,60990.0,51000.0,All Wheel Drive,Towbar possible,1200.0,5.0,67115.0
179,DACIA,Spring Electric 65,25.0,124.0,13.7,a1,160.0,156.0,170.0,20000.0,20950.0,15995.0,Front Wheel Drive,Towbar not possible,0.0,4.0,19929.0
180,XPENG,G6 RWD Standard Range,66.0,120.0,6.9,a2,375.0,176.0,750.0,45000.0,45000.0,0.0,Rear Wheel Drive,Towbar possible,0.0,5.0,25139.0
1810,ROLLS-ROYCE,EX90 Twin Motor,63.0,137.0,7.5,a1,335.0,188.0,450.0,47490.0,44990.0,39645.0,Front Wheel Drive,Towbar possible,750.0,5.0,49397.0
182,VOLVO,EC40 Single Motor ER,79.0,137.0,7.3,a1,420.0,188.0,630.0,53514.0,53495.0,54305.0,All Wheel Drive,Towbar possible,1500.0,4.0,67664.0
183,CUPRA,Born VZ,79.0,112.0,5.7,a1,460.0,172.0,630.0,51150.0,50000.0,47000.0,Rear Wheel Drive,Towbar not possible,0.0,4.0,58562.0
184,VOLKSWAGEN,EX30 Single Motor ER,79.0,112.0,6.0,a1,460.0,172.0,690.0,50000.0,50000.0,47000.0,Rear Wheel Drive,Towbar not possible,0.0,4.0,58562.0
185,AUDI,Q4 e-tron 55 quattro,77.0,160.0,5.4,a1,395.0,195.0,590.0,59000.0,64615.0,57125.0,All Wheel Drive,Towbar not possible,1200.0,5.0,72205.0
186,PEUGEOT,e-208 51 kWh,48.1,135.0,8.2,a1,310.0,155.0,480.0,40325.0,37170.0,32400.0,Front Wheel Drive,Towbar not possible,300.0,5.0,40370.0
